542schoolsUSA,Public0Privat1,Grad Program offered, total#of students,City,State,Postal code,NationalRanking,ReRanking,usnews ranking sign on Business school web?,usnews ranking mentioned on Business school  web?, AACSBLogoOnWeb,aacsb mentioned on web?,Offer UG business program?,UG tuition yearly instate,UG tuition yearly Outofstate/general,Offer MBA or Grad program,MBA tuition per credit Resident,MBA tuition per credit general/non-resident,Offer Doctoral,Hav mission on aacsb,MissionOnAACSBWeb,MissionOnschoolWeb,2missions same
Clarkson University,1,"Business, Engineering, Health, Science",3822,Potsdam,NY,13699,127,4,0,0,1,1,1,56258,56258,1,995,995,0,1,"The mission of the David D. Reh School of Business is to integrate high-impact, interdisciplinary scholarship with teaching excellence to develop business leaders who combine business acumen, analytical thinking, technical expertise and a global perspective to benefit business and society.","Clarkson University is an independent, nationally recognized technological university whose faculty of teacher-scholars aspires to offer superior instruction and engage in high-quality research and scholarship in engineering, business, science, health, education and liberal arts. Our primary mission is to educate talented and motivated men and women to become successful professionals through quality pre-collegiate, undergraduate, graduate, and professional continuing education programs, with particular emphasis on the undergraduate experience. Our community and campus settings enhance the quality of student life and afford students access to and interaction with their faculty. We value the diversity of our University community, and we strive to attune ourselves and our programs to our global, pluralistic society. We share the belief that humane and environmentally sound economic and social development derive from the expansion, diffusion, and application of knowledge.",0
Illinois Institute of Technology,1,"Business, Law, Engineering, Education, Health, Science, Social Sciences and Humanities",6389,Chicago,IL,60106,127,4,0,0,1,1,1,48670,48670,1,1646,1646,1,1,"The Stuart School of Business at the Illinois Institute of Technology combines rigorous, relevant, and interdisciplinary academic and practice-oriented research and education. Our approach results in thought leadership and advances students’ careers in technologically-oriented private and public sector industries worldwide.","The Stuart School of Business at the Illinois Institute of Technology combines rigorous, relevant, and interdisciplinary academic and practice-oriented research and education. Our approach results in thought leadership and advances students’ careers in technologically-oriented private and public sector industries worldwide.",1
Iowa State University,0,"Business, Engineering, Education, Fine Arts, Health, Science, Social Sciences and Humanities",30756,Ames,IA,50011,127,4,0,1,1,1,1,4339,12581,1,752,1679,1,1,"Further Iowa State University’s land-grant ideals by delivering high-quality education through impactful research, innovative teaching, and community engagement","Further Iowa State University’s land-grant ideals by training students to be knowledgeable and ethical communicators, leaders, collaborators, and problem solvers through impactful research, innovative teaching, and community engagement.",0
"California State University, Long Beach",0,"Busienss, Nursing, Education, Fine Arts, Health, Public Affairs",37833,Long Beach,CA,90840,137,4,0,0,1,1,1,5742,15246,1,669,1065,0,1,"COB is committed to promoting social mobility by providing our diverse student population an affordable, relevant, and high-quality education and to creating and disseminating knowledge through impactful research.","COB is committed to promoting social mobility by providing our diverse student population an affordable, relevant, and high-quality education and to creating and disseminating knowledge through impactful research.",1
DePaul University,1,"Business, Law, Nursing, Education, Health, Public Affairs, Science, Social Sciences and Humanities",23110,Chicago,IL,60604,137,4,0,1,0,1,1,42840,42840,1,1124,1124,1,1,"Grounded in our urban, Catholic and Vincentian values, the Driehaus College of Business leverages its Chicago location and innovative faculty and staff to develop socially responsible leaders and managers who are prepared to add immediate value in today’s diverse and globalized environment. Our faculty advance knowledge through a balance of theoretical and applied scholarship that informs business practice and enhances student learning.","Grounded in our urban, Catholic and Vincentian values, the Driehaus College of Business leverages its Chicago location and innovative faculty and staff to develop socially responsible leaders and managers who are prepared to add immediate value in today’s diverse and globalized environment. Our faculty advance knowledge through a balance of theoretical and applied scholarship that informs business practice and enhances student learning.",1
George Mason University,0,"Busienss, Law, Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",37262,Fairfax,VA,22030,137,4,0,1,1,1,1,9796,33780,1,916,1823,1,1,"We prepare a diverse student body to succeed in a global business environment. We produce outstanding scholarship in business and work to maximize the impact of our expertise. We endeavor to instill a strong ethical compass, and a life-long habit of learning, in our students and stakeholders.","To prepare a diverse student body to succeed in a global business environment. We produce outstanding scholarship in business and work to maximize the impact of our expertise. We endeavor to instill a strong ethical compass, and a lifelong habit of learning, in our students and stakeholders.",1
drake University,1,"Business, Law, Education, Health, Public Affairs",4875,Des Moines,IA,50311,137,4,0,0,1,1,1,47192,47192,1,718,718,0,1,"Our graduates will be professionals equipped with the technical skills, business acumen, and experience necessary to develop innovative solutions and lead in a globally complex, diverse, and dynamic world. They will be: Proficient in their fields. Data-driven, strategic, and innovative problem solvers. Effective communicators. Socially and ethically responsible leaders. Global and multicultural citizens","Our graduates will be professionals equipped with the technical skills, business acumen, and experience necessary to develop innovative solutions and lead in a globally complex, diverse, and dynamic world. They will be: Proficient in their fields. Data-driven, strategic, and innovative problem solvers. Effective communicators. Socially and ethically responsible leaders. Global and multicultural citizens",1
Colorado State University,0,"Business, Engineering, Education, Fine Arts, Health, Science, Social Sciences and Humanities",31686,Fort Collins,CO,80523,151,5,0,0,1,1,1,12702,32562,1,998,998,0,1,"We are in the business of transforming lives. Through business education, scholarly research and community engagement, we make our world a better place.","We are in the business of transforming lives. Through business education, scholarly research and community engagement, we make our world a better place.",1
Duquesne University,1,"Business, Law, Nursing, Education, Health, Science, Social Sciences and Humanities",8333,Pittsburgh,PA,15282,151,5,0,1,0,1,1,45376,45376,1,1421,1421,0,1,"The mission of the Palumbo-Donahue School of Business is to provide transformative education in a Spiritan tradition. We develop ethical business professionals who understand the global marketplace and serve others by leading with integrity to transform their communities, organizations and society. Toward this end, we engage our students, alumni, and business partners with passionate faculty members who create impactful scholarship and innovative educational experiences that connect theory to practice.","Provide Transformative Education in a Spiritan Tradition. We develop ethical business professionals who understand the global marketplace and serve others by leading with integrity to transform their communities, organizations, and society. Toward this end, we engage our students, alumni, and business partners with passionate faculty members who create impactful scholarship and innovative educational experiences that connect theory to practice.",1
Florida International University,0,"Busienss, Law, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",54803,Miami,FL,33199,151,5,1,1,1,1,1,6168,18566,1,503,1119,1,1,"To serve our diverse student and alumni population; our multicultural business community; and the global community of scholars by advancing business knowledge and sharing expertise: We prepare our students to succeed as responsible business professionals, leaders, and global citizens in a dynamic, technology-driven business climate; creating a growing legacy for our alumni. We energize the business community through professional education, collaboration, and research; building competitive advantage for Greater Miami industries, and providing qualified graduates for global, regional and local corporations. We enrich the academic community through innovative research; nurturing our faculty's intellectual growth and developing the talents of exceptional future scholars.","To serve our diverse student and alumni population; our multicultural business community; and the global community of scholars by advancing business knowledge and sharing expertise: We prepare our students to succeed as responsible business professionals, leaders, and global citizens in a dynamic, technology-driven business climate; creating a growing legacy for our alumni. We energize the business community through professional education, collaboration, and research; building competitive advantage for Greater Miami industries, and providing qualified graduates for global, regional and local corporations. We enrich the academic community through innovative research; nurturing our faculty's intellectual growth and developing the talents of exceptional future scholars.",1
James Madison University,0,"Business, Nursing, Fine Arts, Health, Public Affairs, Social Sciences and Humanities",22224,Harrisonburg,VA,22807,151,5,0,0,1,1,1,13092,30152,1,529,1251,0,1,"The JMU College of Business is a learning community committed to excellence in preparing students to be engaged, principled, business professionals and leaders; advancing scholarship in business disciplines; and enhancing organizational performance through our outreach activities.","The JMU College of Business is a learning community committed to excellence in preparing students to be engaged, principled, business professionals and leaders; advancing scholarship in business disciplines; and enhancing organizational performance through our outreach activities.",1
Michigan Technological University,0,"Business, Engineering, Science",7006,Houghton,MI,49931,151,5,0,0,1,1,1,17296,39256,1,1228,1228,0,1,"The Michigan Tech College of Business prepares graduates to innovatively respond to challenges and opportunities in a global environment. We enhance the University’s technological prominence through influential scholarship, experiential learning, and stakeholder outreach.","Our College of Business prepares life-long learners to innovatively respond to challenges and opportunities in dynamic environments. We enhance the University’s technological prominence through influential scholarship, experiential learning, and stakeholder outreach.",0
Bradley University,1,"Business, Nursing, Fine Arts, Health",5588,Peoria,IL,61625,166,5,0,0,1,1,1,37380,37380,1,990,990,0,1,"Through close interaction and experiential learning, we empower individuals and organizations to achieve great outcomes.","The Foster College of Business is a professional school that through close interaction and experiential learning, empowers individuals and organizations to achieve great outcomes. We accomplish this by engaging with learners of all types, conducting original research, and contributing to the betterment of our college, university, professions, and communities.",0
"California State University, Fullerton",0,"Business, Nursing, Education, Fine Arts, Health, Public Affairs",39144,Fullerton,CA,92834,166,5,0,0,1,1,1,5742,15246,1,669,1065,0,1,We leverage the diversity and entrepreneurial spirit of Southern California to produce globally aware business leaders through innovative teaching and high-quality applied research.,"We lead business education on the West Coast.  We create positive change by leveraging the curiosity, entrepreneurial spirit and diversity of our students.  We inspire our students and other partners to transform the workforce through innovative, impactful instruction and research.",0
Hofstra University,1,"Business, Law, Medicine, Nursing, Education, Health, Social Sciences and Humanities",10120,Hempstead,NY,11549,166,5,1,1,0,1,1,52215,52215,1,1605,1605,0,1,"The mission of the Zarb School of Business is to prepare our learners to be agile business leaders in a dynamic global environment. We are focused on providing our students with critical knowledge and skills, developing their ability to adapt to technological advancements, and affording opportunities for achieving career success. We are committed to excellence in teaching and scholarship, delivering high-quality learning experiences, enhancing and nurturing lifelong learning.","The mission of the Zarb School of Business is to prepare our learners to be agile business leaders in a dynamic global environment. We are focused on providing our students with critical knowledge and skills, developing their ability to adapt to technological advancements, and affording opportunities for achieving career success. We are committed to excellence in teaching and scholarship, delivering high-quality learning experiences, enhancing and nurturing lifelong learning.",1
Kansas State University,0,"Business, Engineering, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",20229,Manhattan,KS,66506,166,5,0,1,1,1,1,7591,20448,1,833,833,0,1,"To create value for students, business, and society through activities that lead to career success and the advancement of knowledge.","To create value for students, business, and society through activities that lead to career success and the advancement of knowledge.",1
Mercer University-Macon and Atlanta Campuses,1,"Law, Medicine, Nursing, Education, Health, Social Sciences and Humanities",8837,Macon,GA,31207,166,5,0,0,1,1,1,39708,39708,1,963,963,0,1,The Stetson-Hatcher School of Business of Mercer University delivers career focused business education to develop innovative and globally responsible leaders.,Mercer's School of Business offers a variety of academic and professional development programs that are designed to prepare individuals for success.,0
Louisiana State University,0,"Business, Law, Engineering, Education, Fine Arts, Health, Library and Information Studies, Public Affairs, Science, Social Sciences and Humanities",35914,Baton Rouge,LA,70803,176,5,0,1,1,1,1,19750,35190,1,486,1426,1,1,"As the flagship business college of Louisiana, the E. J. Ourso College of Business uplifts the economy of the state and the lives of its citizens. To do so, the college delivers a superior intellectual and professional learning experience that cultivates future business leaders through real-world learning, critical thinking, and a strong work ethic. It also creates and disseminates cutting-edge research through theoretical and applied scholarship that makes a direct and positive impact upon the business and academic communities. To successfully complete this mission and to support LSU’s overall Flagship 2020 strategy, the college vigorously pursues the broad reaching goals of Discovery, Learning, Diversity, and Engagement. The E. J. Ourso College of Business will be the choice of exceptional students who will become the business leaders and entrepreneurs of tomorrow; the choice of elite corporations who recruit and hire the business leaders of tomorrow; and, the choice of brilliant scholars and educators who create and impart the knowledge for the business leaders of tomorrow.","Our mission is to cultivate future leaders and entrepreneurs who are innovative problem-solvers that seek to have a positive impact on society. We develop cutting-edge, high-quality research and leverage human capital to address the most pressing economic and societal challenges facing the state, national, and global economies.",0
University of Massachusetts Lowell,0,"Business,  Engineering, Fine Arts,Social Sciences and Humanities,Health Sciences, Sciences",17034,Lowell,MA,1854,176,5,1,1,1,1,1,16182,34550,1,845,1500,1,1,"The Manning School of Business delivers high quality, accessible undergraduate and graduate education. We produce influential research and provide an inclusive learning environment that offers rigorous, transformative experiences. Our students engage in entrepreneurial opportunities to explore innovation and the power of interdisciplinary collaboration. Manning graduates are work ready and prepared to contribute to the global business community.","The Manning School of Business delivers high quality, accessible undergraduate and graduate education. We produce influential research and provide an inclusive learning environment that offers rigorous, transformative experiences. Our students engage in entrepreneurial opportunities to explore innovation and the power of interdisciplinary collaboration. Manning graduates are work ready and prepared to contribute to the global business community.",1
Adelphi University,1,"Business, Nursing, Health, Social Sciences and Humanities",7520,Garden City,NY,11530,182,5,1,1,1,1,1,43800,43800,1,1380,1380,0,1,"We prepare a diverse student body to be data-driven, socially responsible, and resilient leaders. We do this through an experience-based and integrated curriculum delivered by a student-centered faculty committed to excellence both within and outside the classroom.","We prepare a diverse student body to be data-driven, socially responsible, and resilient leaders. We do this through an experience-based and integrated curriculum delivered by a student-centered faculty committed to excellence both within and outside the classroom.",1
Belmont University,1,"Business, Law, Nursing, Health",8670,Nashville,TN,37212,182,5,0,0,1,1,1,39850,39850,1,1882,1882,0,1,"We are an innovative, student-centered learning community that prepares entrepreneurial, ethical, and socially responsible future business leaders for the dynamic global economy. We are committed to: Relevant, interactive, and experiential academic programs provided by a faculty with diverse and extensive academic qualifications and professional experience; Advising and mentoring students for career growth and development; Impactful scholarship that advances the practice, knowledge, and teaching of business and management; Engaging the communities we serve through value-added relationships.","The Jack C. Massey Graduate School of Business was founded in 1986 with a mission to provide business education and thoughtful leadership to the working professionals of Nashville and the middle Tennessee region. The Massey School curriculum provides challenging, practical and flexible graduate business education.  With small class sizes, Massey incorporates a variety of teaching methods including lectures, case studies, individual inquiry, written reports, oral presentations and interactive computer simulations. These intellectual exercises are designed to stimulate critical thinking and creative problem-solving, while encouraging strong communication skills and a solid framework for ethical business decision-making.   Our emphasis on small group work will develop your ability to think and work in collaboration with others, and build your leadership capabilities.      Also threaded through the curriculum are the themes of entrepreneurship, international business and ethical decision-making. You will benefit from lasting relationships with faculty, staff and classmates, and have access to ongoing education opportunities and lifetime career counseling.",0
Missouri University of Science and Technology,0,x,7245,Rolla,MO,65409,182,5,0,0,1,1,1,13000,30400,1,458,1270,0,1,"To serve the economic interests of industry and the evolving needs of society in a challenging, rapidly changing, global environment, the Department of Business and Information Technology capitalizes on the strong technological emphasis of Missouri S&T to enable individuals to excel in a technology-centric business world. Recognizing this rapid evolution of the marketplace, we create and disseminate knowledge impacting the theory and practice of business.","Capitalizing on the strong technological emphasis of Missouri S&T, the Department of Business and Information Technology prepares individuals for careers in modern business organizations. The Department emphasizes management through technology, with particular focus on information systems and their application in a fast-changing, global, and competitive environment, to serve the economic interests of industry and the evolving needs of society.",0
"California State University, San Bernardino",0,"Busienss, Nursing, Education, Fine Arts, Health, Public Affairs",20885,San Bernardino,CA,92407,194,5,0,0,0,1,1,5742,15246,1,640,1036,0,1,"The Jack H. Brown College of Business and Public Administration is committed to nurturing a high-quality educational environment that promotes student, faculty, and staff success in its pursuit of academic and professional excellence. We seek to transform the lives of our students and alumni by ensuring that they become responsible management professionals within a dynamic region and a globally connected world.","California State University, San Bernardino offers a challenging and innovative academic environment. The university seeks to provide a supportive and welcoming social and physical setting where students, faculty, and staff feel they belong and can excel. The university provides students the opportunity to engage in the life of the campus, interact with others of diverse backgrounds and cultures, as well as participate in activities that encourage growth, curiosity, and scholarly fulfillment. Through its branch campus in Palm Desert, the university mission extends to the Coachella Valley.",0
Mississippi State University,0,"Business, Engineering, Education, Health, Public Affairs, Science, Social Sciences and Humanities",23806,Mississippi State,MS,39762,194,5,0,0,1,1,1,9408,25294,1,514,1406,1,1,"The Mississippi State University College of Business serves the people and businesses of Mississippi and beyond through an enriched learning community. Students are prepared to think, communicate and collaborate ethically in today's diverse, technology-driven, global business environment. Our College provides a collegial academic atmosphere that nurtures students and encourages faculty to be innovative and to integrate teaching, research, and service.","The Mississippi State University College of Business serves the people and businesses of Mississippi and beyond through an enriched learning community. Students are prepared to think, communicate and collaborate ethically in today’s diverse, technology-driven, global business environment. Our College provides a collegial academic atmosphere that nurtures students and encourages faculty to be innovative and to integrate teaching research and service. We seek to advance frontiers of scholarship in the following areas of focus: Family Business and Entrepreneurship (FBE), Governance and Financial Services/Markets (GFS), Information Security and Assurance (ISA), and Distribution and Service Innovation (DSI).",0
La Salle University,1,"Business, Nursing, Health, Social Sciences and Humanities",4043,Philadelphia,PA,19141,202,6,0,0,0,0,1,26000,26000,1,626,626,0,1,"Experiential and engaged learning is at the heart of everything we do. We provide excellence in business education through the integration of current business concepts with diverse experiential learning opportunities. As a Catholic Lasallian university, we are committed to the principle that all knowledge is practical and empowering, filled with the capacity to transform lives. Anchored by a foundation which affirms the value of both liberal arts and professional studies, our students are prepared to lead engaged and fulfilling lives marked by a commitment to the common good.","The mission of the Management and Leadership Department is to enable graduates to distinguish themselves by demonstrating extraordinary team, management, and ethically-grounded leadership skills throughout their professional careers",0
Loyola University New Orleans,1,"Business, Law, Nursing",3857,New Orleans,LA,70118,202,6,1,1,1,1,1,45280,45280,1,950,950,0,1,"In the Ignatian tradition, the mission of the College of Business is to provide a superior values-laden education that motivates and enables our students to become effective and socially responsible business leaders. We strive to contribute quality research, serve local and intellectual communities, and graduate students who possess critical thinking skills and courage to act justly in a global business environment.","In the Ignatian tradition, the mission of the College of Business is to provide a superior values-laden education that motivates and enables our students to become effective and socially responsible business leaders. We strive to contribute quality research, serve local and intellectual communities, and graduate students who possess critical thinking skills and courage to act justly in a global business environment.",1
Ball State University,0,"Business, Nursing, Education, Health, Public Affairs, Social Sciences and Humanities",20409,Muncie,IN,47306,212,6,0,0,1,1,1,8434,25918,1,438,1197,0,1,"The Miller College of Business delivers innovative and high-quality academic programs that provide students with the knowledge, skills, and experience to become competent professionals and impactful leaders. We discover and disseminate knowledge through faculty scholarship, and engage with employers, alumni, professionals, and the broader communities we serve.",We create transformative educational experiences delivered by faculty who embrace the teacher-scholar model. Our students gain business knowledge supplemented by impactful engagement with practicing professionals. We provide innovative and flexible educational programing to facilitate lifelong learning.,0
Kent State University,0,"Business, Nursing, Education, Fine Arts, Health, Library and Information Studies, Public Affairs, Science, Social Sciences and Humanities",34734,Kent,OH,44242,212,6,0,0,1,1,1,10569,19677,1,503,938,1,1,"We provide global impact through innovative education, leading research, and meaningful engagement with the business community. We are guided by our core values of respect, ethics, collaboration, and a sense of purpose in all we do.","Employing an entrepreneurial mindset, we generate societal impact through top-tier research, innovative education and meaningful engagement with the business community. We are guided by our core values of excellence, accountability, collaboration, inclusivity and respect. ",0
Lipscomb University,1,"Business, Health",4508,Nashville,TN,37204,212,6,0,0,1,1,1,38824,38824,1,1395,1395,0,0,x,Develop business leaders who embrace the values and virtues of Jesus.,0
Illinois State University,0,"Business, Nursing, Education, Fine Arts, Health, Science, Social Sciences and Humanities",19986,Normal,IL,61790,219,6,0,0,1,1,1,16036,28114,1,567,1023,0,1,"Our mission is who we are, who we serve, and why we exist. We strive to achieve our vision. Our core values are the foundation for determining our goals and strategies. Our tactics provide direction for implementing our strategies. We recognize an ever-changing external environment and we will continue to monitor and assess the needs of our stakeholders in the future. ","Within Illinois State University’s College of Business, through our shared commitment to excellence in learning, we prepare students to become skilled business professionals who think critically, behave ethically, and make significant contributions to organizations, communities, and our global society.",0
"Maine Business School and Graduate School of Business, University of Maine",0,"Business, Law, Engineering, Nursing, Education, Health, Science, Social Sciences and Humanities",11568,Orono,ME,4469,219,6,0,1,1,1,1,9312,26592,1,650,650,0,1,The Maine Business School’s mission is to engage students and professionals in academic adventures focused on evolving business practices and to advance knowledge through scholarship as we connect with our communities.,Our mission is to engage students and professionals in academic adventures focused on evolving business practices and to advance knowledge through scholarship as we connect with our communities.,1
Bellarmine University,1,"Business, Nursing, Education, Health",3331,Louisville,KY,40205,234,6,0,0,1,1,1,45190,45190,1,795,795,0,1,"Providing inclusive, student-centered business education in the Catholic, liberal arts tradition that educates the whole person and leads to impactful careers.","Providing inclusive, student-centered business education in the Catholic, liberal arts tradition that educates the whole person and leads to impactful careers.",1
East Carolina University,0,"Business, Medicine, Nursing, Education, Fine Arts, Health, Library and Information Studies, Public Affairs, Science, Social Sciences and Humanities",27473,Greenville,NC,27858,234,6,0,0,0,1,1,4452,20729,1,389,1119,0,1,"East Carolina University's College of Business provides an engaging learning environment to the leaders of today and tomorrow while expanding business knowledge and serving our communities. The foundation of our mission is the integration of four critical elements: Think, Value, Communicate, Lead.","East Carolina University's College of Business provides an engaging learning environment to the leaders of today and tomorrow while expanding business knowledge and serving our communities. The foundation of our mission is the integration of four critical elements: Think, Value, Communicate, Lead.",1
Georgia State University,0,"Business, Law, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",51127,Atlanta,GA,30302,234,6,0,1,0,0,1,8948,27986,1,464,1070,1,1,"Ensure a diverse student body emerges prepared to deliver value in business, government and non-profit organizations. We accomplish this by engaging scholars and practitioners who increase our understanding of how individuals, organizations and markets most effectively enhance social well-being. We share this knowledge with our peers and current and future business leaders to maximize its potential to affect individuals, families, communities and global society.","We prepare people from all backgrounds to lead, innovate, and achieve their potential to advance business and society. Robinson recognizes the unrivaled potential of free enterprise to improve lives. We design and implement solutions that advance how businesses and markets function to make a world where all citizens prosper.",0
Suffolk University,1,"Business, Law, Health, Public Affairs, Social Sciences and Humanities",6692,Boston,MA,2108,234,6,0,0,1,1,1,43332,43332,1,1638,1638,0,1,"We recognize the potential in our students and prepare them to become successful leaders in global business and public service. We value excellence in education and research and work with our students, alumni, and business partners to achieve it.","The Sawyer Business School provides students a world-class business and public service education. Our engaged faculty leverages a central Boston location and fosters collaborations with local, national, and global community partners to generate high-quality scholarship and enhance the integration of classroom lessons with experiential learning. In doing so, we graduate global-minded, knowledgeable, and socially responsible professionals who embrace innovation and change.",0
University of Massachusetts Boston,0,"Business, Education and Human Development, Liberal Arts, Nursing and Health Sciences, Policy and Global Studies, Social Development, Environment",15101,Boston,MA,2125,234,6,1,1,1,1,1,15132,36105,1,787,1537,1,1,"As Boston’s urban public research business school, our mission is to provide accessible, innovative, and high-value undergraduate and graduate programs to advance knowledge and practice at the city's unique intersection of business, government, and nonprofit organizations","As Boston’s urban public research business school, our mission is to provide accessible, innovative, and high-value undergraduate and graduate programs to advance knowledge and practice at the city's unique intersection of business, government, and nonprofit organizations.",1
Abilene Christian University,1,"Business, Education, Health",5334,Abilene,TX,29300,250,7,1,1,0,1,1,40500,40500,1,732,732,0,1,We educate business and technology professionals for Christian service and leadership throughout the world.,"That mission is to prepare you for life as a professional who joins Christian service with the leadership roles you’re called into.   Through powerful mentorship and intentional engagement, our faculty confidently lean in to their roles as your educators in business and technology, training you in the most current practices and connecting you with networks of industry-leaders.   This is what igniting your passion looks like.",0
"California State University, Fresno",0,"Busienss, Nursing, Education, Health, Public Affairs",24009,Fresno,CA,93740,250,7,0,0,1,1,1,5742,15246,1,720,1116,0,1,The Craig School of Business educates and inspires a diverse student body and supports economic development in Central California and beyond.,"The Craig School of Business educates and inspires a diverse student body and supports sustainable, inclusive economic development in Central California and beyond.",1
Central Michigan University,0,"Business, Medicine, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",19431,Mount Pleasant ,MI,48859,250,7,0,0,1,1,1,11376,11376,1,770,770,0,1,"Our mission is to prepare students for professional success by providing an innovative, high quality, business-connected education that inspires students to excel in diverse global environments.  This mission calls us to leadership in the State of Michigan.  ","At Central Michigan University, we are a community committed to the pursuit of knowledge, wisdom, discovery and creativity. We provide student-centered education and foster personal and intellectual growth to prepare students for productive careers, meaningful lives and responsible citizenship in a global society.",0
Bowling Green State University,0,"Business, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",17311,Bowling Green,OH,43403,263,7,0,0,1,1,1,13126,21114,1,468,801,1,1,"We educate and develop business professionals through a student-centric approach, create impactful research, and serve our local, national, and global communities.","Our mission is to transform lives, enhance the economic vitality of our region, and benefit society through exceptional, holistic, learner-centered business education; thought-leading research; and valuable service.",0
Florida Atlantic University,0,"Business, Medicine, Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",29472,Boca Raton,FL,33431,263,7,1,1,1,1,1,2520,14376,1,372,1027,1,1,"Florida Atlantic University’s College of Business sustains an environment of entrepreneurial action and intellectual achievement through research and teaching, creating access to educational programs and opportunities for our constituents emphasizing the diverse people, industries, and issues of the south Florida region and beyond.",The mission of the Department of Management Programs is to develop future business leaders who are skilled in the art of managing in a global business environment. We recognize the urban nature of our student population and design programs to be delivered through non-traditional and technology-driven delivery systems. Through our undergraduate and graduate programs in Management and International Business we provide skills that are useful in a world marketplace. Our scholarly initiatives make us valuable partners for the regional and international community.,0
Grand Valley State University,0,"Business, Nursing, Health, Public Affairs",22406,Grand Rapids,MI,49504,263,7,0,0,0,1,1,13952,19856,1,796,796,0,1,"Seidman develops business talent that contributes to the economic growth of West Michigan and the Great Lakes region. Through the exchange and application of knowledge with a global perspective, our students learn to make informed decisions, act ethically, and take initiative. Our distinctiveness is grounded in strong community collaborations, applied scholarly contributions, innovative approaches to learning, and a supportive environment.","We carefully plan and rigorously monitor our curriculum to make sure that business students receive an education true to our mission: current, relevant, and always improving. We recruit our professors from among the top academic talent. They continuously develop their teaching prowess; enrich the field of management knowledge and instruction; and impact our students, school, and community in positive ways. Our facilities and the learning resources they house are designed to fulfill the objectives of our courses and programs. We regularly evaluate them to ensure that they are accessible, up-to-date, and effectively utilized. We make consistent efforts to achieve demographic diversity in our student body as well in our faculty and staff ranks.",0
Montana State University,0,"Engineering, Nursing, Education, Fine Arts, Health, Public Affairs, Science, Social Sciences and Humanities",16841,Bozeman,MT,59717,263,7,0,0,1,1,1,7727,27990,1,291,1193,0,1,"The Mission of the Jake Jabs College of Business & Entrepreneurship (JJCBE) is to provide excellence in undergraduate and select graduate business education. We inspire creativity, innovation, and growth. To accomplish this, the College fosters an integrated, experiential, and personalized learning environment and encourages critical thinking, quantitative reasoning, effective communication, ethical decision making, social responsibility and life-long learning. The College is committed to the teacher-scholar model in which faculty members are simultaneously engaged in teaching and research. The College provides service and outreach to its stakeholders in keeping with this aspect of the University's land-grant mission.","The Mission of the Jake Jabs College of Business & Entrepreneurship (JJCBE) is to provide excellence in undergraduate and select graduate business education. We inspire creativity, innovation, and growth. To accomplish this, the College fosters an integrated, experiential, and personalized learning environment and encourages critical thinking, quantitative reasoning, effective communication, ethical decision making, social responsibility and life-long learning. The College is committed to the teacher-scholar model in which faculty members are simultaneously engaged in teaching and research. The College provides service and outreach to its stakeholders in keeping with this aspect of the University's land-grant mission.",1
Marshall University,0,"Business, Medicine, Nursing, Education, Health, Public Affairs, Science, Social Sciences and Humanities",11064,Huntington,WV,25755,299,7,1,1,1,1,1,8604,19658,1,496.3333333,1193.666667,1,1,"The Lewis College of Business prepares students to become successful business professionals advancing economic development throughout West Virginia and beyond. The College provides a high-quality innovative business education in a supportive learning environment that encompasses exemplary teaching, service to our communities, and a faculty committed to applied and pedagogical scholarship.","The Lewis College of Business empowers students with the skills and knowledge to become successful business professionals in West Virginia and beyond. The college provides a high-quality, innovative business education in a supportive environment that encompasses exemplary teaching, experiential learning, external engagement, and impactful scholarship.",0
